sequence,genre,num_frames,mean_motion,std_motion,max_motion,median_motion,total_displacement
gJS_sBM_cAll_d01_mJS1_ch02,gJS,640,0.13046938,0.15484163,0.68968767,0.06661098,83.369934
gHO_sBM_cAll_d21_mHO5_ch08,gHO,426,1.3233343,0.40187445,2.5006328,1.3211777,562.4171
gJS_sBM_cAll_d01_mJS0_ch02,gJS,720,0.12443103,0.16143039,0.796689,0.04661746,89.46591
gWA_sBM_cAll_d25_mWA0_ch04,gWA,720,0.6541911,0.42116162,1.7799649,0.4974226,470.36337
gWA_sBM_cAll_d25_mWA0_ch10,gWA,720,0.9434044,0.48755467,2.6745572,0.8629392,678.30774
gHO_sBM_cAll_d20_mHO5_ch06,gHO,426,1.0026602,0.29360458,1.6536542,1.0097232,426.13055
gWA_sBM_cAll_d26_mWA0_ch01,gWA,720,0.2474929,0.22728124,1.6914786,0.1807791,177.94739
gLO_sBM_cAll_d15_mLO2_ch10,gLO,576,0.79552245,0.3655284,2.18978,0.80315924,457.4254
gLO_sBM_cAll_d15_mLO2_ch04,gLO,576,0.07755108,0.08802426,0.35078955,0.03832944,44.591873
gKR_sBM_cAll_d29_mKR0_ch02,gKR,720,0.09656464,0.060826153,0.32727477,0.07934447,69.42998
gKR_sBM_cAll_d29_mKR1_ch02,gKR,640,0.9197169,0.4859499,3.2066214,0.8344049,587.6991
gBR_sBM_cAll_d06_mBR2_ch02,gBR,576,0.80539936,0.337092,1.6708363,0.82676905,463.1046
gBR_sBM_cAll_d06_mBR3_ch02,gBR,524,0.756116,0.32258955,1.6481239,0.74777997,395.44864
gMH_sBM_cAll_d24_mMH3_ch04,gMH,524,0.95004493,0.40591046,1.7553314,0.95173836,496.8735
gLO_sFM_cAll_d15_mLO2_ch17,gLO,2302,0.744399,0.5178231,3.0862546,0.6249877,1712.8622
gMH_sBM_cAll_d24_mMH3_ch10,gMH,524,0.97546124,0.32038373,2.1586642,0.95628065,510.16623
gMH_sBM_cAll_d24_mMH3_ch05,gMH,524,0.8623587,0.33099318,1.6944714,0.9148566,451.01358
gLO_sBM_cAll_d15_mLO2_ch05,gLO,576,0.13092194,0.106469505,0.5004631,0.10622557,75.28012
gLH_sBM_cAll_d17_mLH1_ch01,gLH,640,1.3067927,0.66661656,3.1954954,1.1549516,835.0405
gLH_sBM_cAll_d17_mLH0_ch01,gLH,720,0.9610898,0.5348938,2.2826445,0.8154038,691.02356
gHO_sBM_cAll_d20_mHO5_ch07,gHO,426,1.1248823,0.42545915,2.265138,1.1039025,478.075
gJS_sBM_cAll_d03_mJS5_ch02,gJS,443,0.11364025,0.12028272,0.47289097,0.05195959,50.22899
gWA_sBM_cAll_d25_mWA0_ch05,gWA,720,0.4175226,0.18712975,1.0083897,0.42702225,300.19876
gJS_sBM_cAll_d03_mJS4_ch02,gJS,480,0.1543096,0.18574357,0.76407963,0.06995906,73.9143
gHO_sBM_cAll_d21_mHO5_ch09,gHO,426,1.1514623,0.3803509,2.0897036,1.1612841,489.37146
gJS_sBM_cAll_d01_mJS0_ch01,gJS,720,0.022592526,0.024796069,0.16089423,0.015212365,16.244026
gLH_sBM_cAll_d17_mLH4_ch09,gLH,480,0.9414366,0.33919665,1.7545496,0.9219715,450.94812
gJS_sBM_cAll_d01_mJS1_ch01,gJS,640,0.023803502,0.0239016,0.17063655,0.016776687,15.210438
gWA_sBM_cAll_d25_mWA0_ch07,gWA,720,0.25357637,0.18146737,1.0321246,0.21683311,182.32141
